model,doc_index,order,hypothesis,gold_evidence_ids,free_first_partial_and_tight_final_ids,free_feedback_calls,free_exact_feedback_seen,free_trace,tight_trace
deepseek-v4-flash-0731,6,2,nda-13,"[24, 28]",[28],2,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fff1b0def6001fc0cadd5df9cfdf3bf0a875c7f0e9a554891d06bab94558453c/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_a6e25c09c4dee05d80c3a32f77c65e1574b31f78bdaf044ac10680f89a2c3d58/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_6_r2_s2202.json
deepseek-v4-flash-0731,6,2,nda-5,"[15, 18, 19, 20, 36]","[18, 19, 20]",9,1,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fff1b0def6001fc0cadd5df9cfdf3bf0a875c7f0e9a554891d06bab94558453c/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_a6e25c09c4dee05d80c3a32f77c65e1574b31f78bdaf044ac10680f89a2c3d58/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_6_r2_s2202.json
deepseek-v4-flash-0731,6,2,nda-4,"[15, 17]",[17],1,0,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_fff1b0def6001fc0cadd5df9cfdf3bf0a875c7f0e9a554891d06bab94558453c/result/deepseek-v4-flash-0731_cost_free/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_a6e25c09c4dee05d80c3a32f77c65e1574b31f78bdaf044ac10680f89a2c3d58/result/deepseek-v4-flash-0731_cost_tight/traces-v2/evidence_audit_cc-large_6_r2_s2202.json
gemini-3.8-flash-medium,0,2,nda-2,"[25, 32]",[25],5,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_220c220dc22316055f01024b0e11a8164472aaa83388925813a39aa44dc82c5c/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_0_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_b67ebab94356a0499725827e1819366b8fd07f3c68e3db19a22a391169187302/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_0_r2_s2202.json
gemini-3.8-flash-medium,0,0,nda-4,"[44, 49, 50, 53]",[44],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_891e6db8221e87d0bced4a17cf3f9de88e7ebe8b74b344f19346602273824dfa/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_0_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_7125fc10973adf776554480b4fc70f6fa0442bd6bcfce97f01ac7f847f5a735d/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_0_r0_s2200.json
gemini-3.8-flash-medium,0,1,nda-2,"[25, 32]",[25],13,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_9e54881554f71b0e8f16f37b5fee501a566942fe01a8aa453513f602a772b23c/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_0_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_f0538918d6dff378ccca9082ba0a9f00e557c5be064d3750821f0fb96cb80a4e/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_0_r1_s2201.json
gemini-3.8-flash-medium,0,1,nda-5,"[37, 38, 55]","[38, 55]",6,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_9e54881554f71b0e8f16f37b5fee501a566942fe01a8aa453513f602a772b23c/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_0_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_f0538918d6dff378ccca9082ba0a9f00e557c5be064d3750821f0fb96cb80a4e/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_0_r1_s2201.json
gemini-3.8-flash-medium,7,2,nda-17,"[24, 25]",[25],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_fc15ed445779a79b0dc67207d47fc66a0d79aa7239a770879e0ccc19c47ae70a/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_7_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_20260911_v3/invocations/job_7078f7a6918c47e5e611550de7d4c8f536026c301c99df0c698dcbb8ebc4c823/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_7_r2_s2202.json
gemini-3.8-flash-medium,4,2,nda-2,"[12, 13]",[12],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_0e78410c099a3284cb0b731a08ad200091fa1a26694780feec080e29439300ee/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_4_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_d79a0daf813dadb07c6e5dbb5bc75e682b5145cb30b95a456bcd69e9897789c1/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_4_r2_s2202.json
gemini-3.8-flash-medium,10,0,nda-4,"[43, 45]",[45],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_1d446ecce854026549d2560ab03222c8d118738b33e5024f730eb8e2f35627eb/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_10_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_ce8e588502fcd837e0e0965d5fc6c9c09ba20e64fde219cfee85cdec3aa36ad6/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_10_r0_s2200.json
gemini-3.8-flash-medium,12,1,nda-4,"[32, 35]",[35],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_3c0fc3d509d537d88c9364e184de8fcbfd66cb2d107ad449ab47eb1f0bbcc7c3/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_12_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_612ec43adef327f5c172f1fed8855d684327538c19d20e057906797e2124b07a/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_12_r1_s2201.json
gemini-3.8-flash-medium,12,2,nda-4,"[32, 35]",[35],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_49e1fda8b5a39e907b277636f4320af0f628307ce3d93f92900da4d658e5defd/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_12_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_16c6453bca122021dce14ec06a37858ba857b41adedc0cf1b19ab8392ab5bde3/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_12_r2_s2202.json
gemini-3.8-flash-medium,10,1,nda-8,"[47, 53, 54, 55]","[53, 54, 55]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_6558a1b608ce16c680ba8627ab9ede06610477f03247d9b386ec0614f3ba205c/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_10_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_8740da0c6c9ee3c6b381119dae0093ba1893111d3eee9f791dc8f5e1af693d83/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_10_r1_s2201.json
gemini-3.8-flash-medium,4,1,nda-2,"[12, 13]",[12],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_8163349b8e923e9c03110dea934bd820cd67db2e076734eb58fbefa550b1e257/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_4_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_0f6ef0c084f968606bd1e4cd06818a0671703c6342050dc4459f37741e8b86fb/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_4_r1_s2201.json
gemini-3.8-flash-medium,6,0,nda-4,"[15, 17]",[17],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_8d4ac5b81e83a24456be168306e0309326b118d9137c31297b7a19ce0f86236f/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_6_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e7b20ccedc23fef8d5585d525958a871336722f33253f7a3c2dfeef91c5e4aad/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_6_r0_s2200.json
gemini-3.8-flash-medium,8,0,nda-19,"[31, 32, 62]",[62],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_997837ba3b4fb927c09477737e2c78126107637798836edd3ba271f3dbe301be/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_8_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_7b712f1192495c9f5b8957d5ef64d7e9cca3464e498b48fff253bd6de0f1834c/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_8_r0_s2200.json
gemini-3.8-flash-medium,4,0,nda-2,"[12, 13]",[12],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_9d58a1690a1cc77a86c5831891152fcbcb70811ec6493c7632bbe62f47bed50a/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_4_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_a3d74046cd4241a666e0d44fbb2d38f389df64b0519316cd2d1b9f44a1481b42/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_4_r0_s2200.json
gemini-3.8-flash-medium,9,2,nda-19,"[16, 17, 64]",[64],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_b88fe5c628d4a3cecd9ce71af4026902babe69d5ac2871c0f39aecab8641670c/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_9_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_d187b45f41e1dfc69e2ecb089394c0db1ad2609aa4ab1046549bbb4914f49123/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_9_r2_s2202.json
gemini-3.8-flash-medium,8,2,nda-2,"[19, 20, 23]",[23],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_b89df752996d5d4eca736c85d9fad56a762f3df0b7748c56b921fed1eb65a563/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_8_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_bf5618c92abc5130b6b5f3b1e1fab5178ff31ca5785f4c55b1186c1a76b0e2a2/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_8_r2_s2202.json
gemini-3.8-flash-medium,8,2,nda-20,"[42, 43, 44, 45, 46]","[43, 44, 45]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_b89df752996d5d4eca736c85d9fad56a762f3df0b7748c56b921fed1eb65a563/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_8_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_bf5618c92abc5130b6b5f3b1e1fab5178ff31ca5785f4c55b1186c1a76b0e2a2/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_8_r2_s2202.json
gemini-3.8-flash-medium,9,1,nda-19,"[16, 17, 64]",[64],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_bc552c78a868d286a9c340f62d74ea8ea76a791970db26c090c63f71f99b67e4/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_9_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_69c1156b1e489e6139eacb60e48459e61c9717fd1264fa617ad54c03d0575756/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_9_r1_s2201.json
gemini-3.8-flash-medium,11,1,nda-19,"[26, 28]",[26],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c19394aaf92093f1500a3a2b8353d8f0ff0a5c68af59d0dad941e17c9b90f2b6/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_911f47eef8f3e88be4e41f32d17106d9f7177cc0df52b89aebf15fcbc0ffe2e1/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r1_s2201.json
gemini-3.8-flash-medium,11,1,nda-5,"[17, 30]",[30],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c19394aaf92093f1500a3a2b8353d8f0ff0a5c68af59d0dad941e17c9b90f2b6/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_911f47eef8f3e88be4e41f32d17106d9f7177cc0df52b89aebf15fcbc0ffe2e1/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r1_s2201.json
gemini-3.8-flash-medium,11,2,nda-12,"[47, 48, 52]","[48, 52]",3,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c75f61198ec45e3aa7c14bcf83b1c89418f359e626971371e65e2019e527a663/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_a432efa73dc8d8027ff409aeb39a86a4e977b65844189d62bac719e26e682050/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r2_s2202.json
gemini-3.8-flash-medium,11,2,nda-15,"[24, 25]",[25],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_c75f61198ec45e3aa7c14bcf83b1c89418f359e626971371e65e2019e527a663/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_a432efa73dc8d8027ff409aeb39a86a4e977b65844189d62bac719e26e682050/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r2_s2202.json
gemini-3.8-flash-medium,8,1,nda-19,"[31, 32, 62]",[62],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_db33134edfaa4be62e3f4cfaeb9db563963c66b3f8b3cb42cd2abfac8887c3c2/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_7c21a42ca47dfc35724d2e1b11418b97987716c8ab38c68333e57a8c3a8aded0/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
gemini-3.8-flash-medium,8,1,nda-20,"[42, 43, 44, 45, 46]","[43, 44, 45]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_db33134edfaa4be62e3f4cfaeb9db563963c66b3f8b3cb42cd2abfac8887c3c2/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_8_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_7c21a42ca47dfc35724d2e1b11418b97987716c8ab38c68333e57a8c3a8aded0/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_8_r1_s2201.json
gemini-3.8-flash-medium,1,0,nda-1,"[15, 16, 17]","[16, 17]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e3fb00a47e6fbf09c2379a5ac618b6f7f662ed365c43ee867fac5b23470ce1cc/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_1_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_73a9c881ed0ca732ee40a11908d9674b3e8143a67bf76a9c228f68198db9279e/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_1_r0_s2200.json
gemini-3.8-flash-medium,11,0,nda-10,"[33, 34, 35, 37, 38, 39]","[34, 35, 37, 39]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e6e21daef7d4dc02cdcd9e5e52a5264cb16de5d041429d70bf09c9c8b26a03b9/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_39637307e2ee440ff40273946341524387cc29f5b8411dc185b0a068228e71a8/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
gemini-3.8-flash-medium,11,0,nda-12,"[47, 48, 52]","[48, 52]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e6e21daef7d4dc02cdcd9e5e52a5264cb16de5d041429d70bf09c9c8b26a03b9/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_39637307e2ee440ff40273946341524387cc29f5b8411dc185b0a068228e71a8/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
gemini-3.8-flash-medium,11,0,nda-19,"[26, 28]",[26],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e6e21daef7d4dc02cdcd9e5e52a5264cb16de5d041429d70bf09c9c8b26a03b9/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_39637307e2ee440ff40273946341524387cc29f5b8411dc185b0a068228e71a8/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
gemini-3.8-flash-medium,11,0,nda-15,"[24, 25]",[25],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e6e21daef7d4dc02cdcd9e5e52a5264cb16de5d041429d70bf09c9c8b26a03b9/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_39637307e2ee440ff40273946341524387cc29f5b8411dc185b0a068228e71a8/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
gemini-3.8-flash-medium,11,0,nda-2,"[11, 12, 13, 14, 15]","[11, 12]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e6e21daef7d4dc02cdcd9e5e52a5264cb16de5d041429d70bf09c9c8b26a03b9/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_11_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_39637307e2ee440ff40273946341524387cc29f5b8411dc185b0a068228e71a8/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_11_r0_s2200.json
gemini-3.8-flash-medium,9,0,nda-19,"[16, 17, 64]",[64],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_e97dc463e71d146a4c784ded1e2ed9f210f4ecf68f70bea9ae73c14c415bcf59/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_9_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_8e22c7409554a8dcbbdfd75d213b2ee9ab7aec1d154c0bef36c278bd140310bb/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_9_r0_s2200.json
gemini-3.8-flash-medium,6,2,nda-4,"[15, 17]",[17],2,1,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_f9cb034f1ba2ebfbf8f99e28edff68f9f7f58c45412f9b3700b71fdc6ca7770e/result/gemini-3.8-flash-medium_cost_free/traces-v2/evidence_audit_cc-large_6_r2_s2202.json,/lustrefs/users/chufan.shi/codex_space_tn/gemini38_eval_20260911/studies/gemini38_flash_medium_refmatrix_recovery_20260911_v1/invocations/job_0f7c995f54b1074bd6032703a84eb5e63d6a0c76d18125b8d66e83be2b7a47bd/result/gemini-3.8-flash-medium_cost_tight/traces-v2/evidence_audit_cc-large_6_r2_s2202.json
glm-5.3,0,0,nda-4,"[44, 49, 50, 53]","[44, 53]",2,1,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/evidence_audit/audit-index0-doc1/cost_free/single/glm-5.3_cost_free/traces-v2/evidence_audit_cc-large_0_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/evidence_audit/audit-index0-doc1/cost_tight/single/glm-5.3_cost_tight/traces-v2/evidence_audit_cc-large_0_r0_s2200.json
glm-5.3,0,1,nda-7,"[37, 38]",[38],10,1,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/evidence_audit/audit-index0-doc1/cost_free/single/glm-5.3_cost_free/traces-v2/evidence_audit_cc-large_0_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v4/portable_eval_20260908/formal_runs/restart-20260909-v5-glm-5.3-formal/results/restart-20260909-v5-glm-5.3-formal/glm-5.3/outer_00000/expgym/evidence_audit/audit-index0-doc1/cost_tight/single/glm-5.3_cost_tight/traces-v2/evidence_audit_cc-large_0_r1_s2201.json
