kind,model,system,scenario,slice_kind,slice,metric,unit,N,from_regime,to_regime,from_strategy,to_strategy,from_mean,to_mean,delta,display_delta,status,from_expected_units,from_known_units,from_missing_units,to_expected_units,to_known_units,to_missing_units,cohort_from,cohort_to,source_from,source_to,source_row_from,source_row_to
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_bon,fraction,4,cost_tight,cost_tight,cached,poolact,0.9406828681627909,0.9431757463349236,0.0024928781721327287,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,614,650
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_bon,fraction,4,cost_moderate,cost_tight,naive,naive,0.9417512483066983,0.9378338721063402,-0.003917376200358147,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,578,632
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_bon,fraction,4,cost_moderate,cost_tight,cached,cached,0.9427639775806004,0.9406828681627909,-0.002081109417809479,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,560,614
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_bon,fraction,4,cost_moderate,cost_tight,poolact,poolact,0.9440438085132176,0.9431757463349236,-0.000868062178293938,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,596,650
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,naive,cached,0.9339443097511927,0.9319466683599684,-0.0019976413912242696,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,581,563
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,naive,poolact,0.9339443097511927,0.943036632405387,0.009092322654194351,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,581,599
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,cached,poolact,0.9319466683599684,0.943036632405387,0.011089964045418621,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,563,599
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_tight,cost_tight,naive,cached,0.9180049267080096,0.9175375004609426,-0.000467426247066971,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,635,617
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_tight,cost_tight,naive,poolact,0.9180049267080096,0.9320245749420589,0.014019648234049331,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,635,653
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_tight,cost_tight,cached,poolact,0.9175375004609426,0.9320245749420589,0.014487074481116302,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,617,653
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_tight,naive,naive,0.9339443097511927,0.9180049267080096,-0.015939383043183097,-0.02,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,581,635
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_tight,cached,cached,0.9319466683599684,0.9175375004609426,-0.014409167899025799,-0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,563,617
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:B,raw_perf_mi,fraction,4,cost_moderate,cost_tight,poolact,poolact,0.943036632405387,0.9320245749420589,-0.011012057463328118,-0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,599,653
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_moderate,naive,cached,99.74599122508837,99.63375645194512,-0.11223477314325692,-0.11,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,567,549
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_moderate,naive,poolact,99.74599122508837,99.91336378247351,0.16737255738513568,+0.17,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,567,585
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_moderate,cached,poolact,99.63375645194512,99.91336378247351,0.2796073305283926,+0.28,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,549,585
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_tight,cost_tight,naive,cached,98.92883180320416,98.8225027665943,-0.10632903660986415,-0.11,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,621,603
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_tight,cost_tight,naive,poolact,98.92883180320416,99.20253105365292,0.2736992504487574,+0.27,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,621,639
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_tight,cost_tight,cached,poolact,98.8225027665943,99.20253105365292,0.38002828705862157,+0.38,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,603,639
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_tight,naive,naive,99.74599122508837,98.92883180320416,-0.8171594218842131,-0.82,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,567,621
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_tight,cached,cached,99.63375645194512,98.8225027665943,-0.8112536853508203,-0.81,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,549,603
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_bon,Gap points,4,cost_moderate,cost_tight,poolact,poolact,99.91336378247351,99.20253105365292,-0.7108327288205913,-0.71,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,585,639
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_moderate,naive,cached,98.15302279006855,98.73241948548706,0.5793966954185095,+0.58,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,570,552
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_moderate,naive,poolact,98.15302279006855,99.7139956670569,1.5609728769883588,+1.56,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,570,588
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_moderate,cached,poolact,98.73241948548706,99.7139956670569,0.9815761815698494,+0.98,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,552,588
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_tight,cost_tight,naive,cached,93.6542134449292,92.42256681790978,-1.2316466270194155,-1.23,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,624,606
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_tight,cost_tight,naive,poolact,93.6542134449292,98.95246090114665,5.298247456217453,+5.30,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,624,642
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_tight,cost_tight,cached,poolact,92.42256681790978,98.95246090114665,6.529894083236869,+6.53,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,606,642
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_tight,naive,naive,98.15302279006855,93.6542134449292,-4.49880934513935,-4.50,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,570,624
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_tight,cached,cached,98.73241948548706,92.42256681790978,-6.309852667577275,-6.31,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,552,606
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap0_mi,Gap points,4,cost_moderate,cost_tight,poolact,poolact,99.7139956670569,98.95246090114665,-0.7615347659102554,-0.76,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,588,642
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_moderate,naive,cached,99.74599122508837,99.63375645194512,-0.11223477314325692,-0.11,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,573,555
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_moderate,naive,poolact,99.74599122508837,99.91336378247351,0.16737255738513568,+0.17,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,573,591
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_moderate,cached,poolact,99.63375645194512,99.91336378247351,0.2796073305283926,+0.28,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,555,591
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_tight,cost_tight,naive,cached,98.92883180320416,98.8225027665943,-0.10632903660986415,-0.11,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,627,609
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_tight,cost_tight,naive,poolact,98.92883180320416,99.20253105365292,0.2736992504487574,+0.27,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,627,645
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_tight,cost_tight,cached,poolact,98.8225027665943,99.20253105365292,0.38002828705862157,+0.38,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,609,645
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_tight,naive,naive,99.74599122508837,98.92883180320416,-0.8171594218842131,-0.82,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,573,627
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_tight,cached,cached,99.63375645194512,98.8225027665943,-0.8112536853508203,-0.81,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,555,609
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_bon,Gap points,4,cost_moderate,cost_tight,poolact,poolact,99.91336378247351,99.20253105365292,-0.7108327288205913,-0.71,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,591,645
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_moderate,naive,cached,98.15302279006855,98.73241948548706,0.5793966954185095,+0.58,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,576,558
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_moderate,naive,poolact,98.15302279006855,99.7139956670569,1.5609728769883588,+1.56,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,576,594
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_moderate,cached,poolact,98.73241948548706,99.7139956670569,0.9815761815698494,+0.98,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,558,594
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_tight,cost_tight,naive,cached,93.6542134449292,92.42256681790978,-1.2316466270194155,-1.23,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,630,612
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_tight,cost_tight,naive,poolact,93.6542134449292,98.95246090114665,5.298247456217453,+5.30,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,630,648
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_tight,cost_tight,cached,poolact,92.42256681790978,98.95246090114665,6.529894083236869,+6.53,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,612,648
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_tight,naive,naive,98.15302279006855,93.6542134449292,-4.49880934513935,-4.50,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,576,630
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_tight,cached,cached,98.73241948548706,92.42256681790978,-6.309852667577275,-6.31,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,558,612
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,gap_mi,Gap points,4,cost_moderate,cost_tight,poolact,poolact,99.7139956670569,98.95246090114665,-0.7615347659102554,-0.76,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,594,648
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_moderate,naive,cached,0.9441439575619168,0.9435096184412638,-0.0006343391206530269,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,579,561
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_moderate,naive,poolact,0.9441439575619168,0.9450899296336703,0.0009459720717535092,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,579,597
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_moderate,cached,poolact,0.9435096184412638,0.9450899296336703,0.001580311192406536,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,561,597
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_tight,cost_tight,naive,cached,0.9395254585478041,0.9389244980282254,-0.0006009605195786971,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,633,615
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_tight,cost_tight,naive,poolact,0.9395254585478041,0.9410723778936598,0.0015469193458557129,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,633,651
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_tight,cost_tight,cached,poolact,0.9389244980282254,0.9410723778936598,0.00214787986543441,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,615,651
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_tight,naive,naive,0.9441439575619168,0.9395254585478041,-0.004618499014112709,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,579,633
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_tight,cached,cached,0.9435096184412638,0.9389244980282254,-0.004585120413038379,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,561,615
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_bon,fraction,4,cost_moderate,cost_tight,poolact,poolact,0.9450899296336703,0.9410723778936598,-0.004017551740010505,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,597,651
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,naive,cached,0.9351406676901711,0.9384153568082386,0.0032746891180674975,+0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,582,564
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,naive,poolact,0.9351406676901711,0.943963122036722,0.008822454346550823,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,582,600
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_moderate,cached,poolact,0.9384153568082386,0.943963122036722,0.005547765228483326,+0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,564,600
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_tight,cost_tight,naive,cached,0.9097138709492154,0.9027527338928647,-0.006961137056350708,-0.01,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,636,618
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_tight,cost_tight,naive,poolact,0.9097138709492154,0.9396590077214771,0.029945136772261738,+0.03,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,636,654
strategy,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_tight,cost_tight,cached,poolact,0.9027527338928647,0.9396590077214771,0.036906273828612446,+0.04,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,618,654
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_tight,naive,naive,0.9351406676901711,0.9097138709492154,-0.025426796740955715,-0.03,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,582,636
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_tight,cached,cached,0.9384153568082386,0.9027527338928647,-0.03566262291537392,-0.04,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,564,618
budget,deepseek-v4-flash-0731,poolact,tuning,task,hpobench:nasbench101:C,raw_perf_mi,fraction,4,cost_moderate,cost_tight,poolact,poolact,0.943963122036722,0.9396590077214771,-0.0043041143152448,-0.00,known,3,3,0,3,3,0,deepseek_rerun_20260912,deepseek_rerun_20260912,rerun_items,rerun_items,600,654
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,0.975867269984917,0.828054298642534,-0.14781297134238303,-14.78,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,1,5
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_moderate,cost_tight,single,single,0.828054298642534,0.7209653092006033,-0.10708898944193068,-10.71,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,5,9
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,evidence_acc,fraction,1,cost_free,cost_tight,single,single,0.975867269984917,0.7209653092006033,-0.2549019607843137,-25.49,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,1,9
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_free,cost_moderate,single,single,0.9728506787330317,0.9230769230769231,-0.04977375565610853,-4.98,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,3,7
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_moderate,cost_tight,single,single,0.9230769230769231,0.8823529411764706,-0.040723981900452566,-4.07,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,7,11
budget,gemini-3.8-flash-medium,expgym,evidence_audit,all,all,label_acc,fraction,1,cost_free,cost_tight,single,single,0.9728506787330317,0.8823529411764706,-0.0904977375565611,-9.05,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,3,11
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,0.975867269984917,0.828054298642534,-0.14781297134238303,-14.78,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,2,6
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_moderate,cost_tight,single,single,0.828054298642534,0.7209653092006033,-0.10708898944193068,-10.71,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,6,10
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,cost_free,cost_tight,single,single,0.975867269984917,0.7209653092006033,-0.2549019607843137,-25.49,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,2,10
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_free,cost_moderate,single,single,0.9728506787330317,0.9230769230769231,-0.04977375565610853,-4.98,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,4,8
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_moderate,cost_tight,single,single,0.9230769230769231,0.8823529411764706,-0.040723981900452566,-4.07,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,8,12
budget,gemini-3.8-flash-medium,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,cost_free,cost_tight,single,single,0.9728506787330317,0.8823529411764706,-0.0904977375565611,-9.05,known,39,39,0,39,39,0,gemini_snapshot,gemini_snapshot,gemini_absolute,gemini_absolute,4,12
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,0.8823529411764706,0.607843137254902,-0.27450980392156854,-27.45,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[41,43,45]","[565,567,569]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,evidence_acc,fraction,1,cost_moderate,cost_tight,single,single,0.607843137254902,0.5882352941176471,-0.019607843137254943,-1.96,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[565,567,569]","[770,772,774]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,evidence_acc,fraction,1,cost_free,cost_tight,single,single,0.8823529411764706,0.5882352941176471,-0.2941176470588235,-29.41,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[41,43,45]","[770,772,774]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,label_acc,fraction,1,cost_free,cost_moderate,single,single,1.0,0.9607843137254902,-0.039215686274509776,-3.92,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[42,44,46]","[566,568,570]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,label_acc,fraction,1,cost_moderate,cost_tight,single,single,0.9607843137254902,0.9019607843137255,-0.05882352941176472,-5.88,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[566,568,570]","[771,773,775]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:0,label_acc,fraction,1,cost_free,cost_tight,single,single,1.0,0.9019607843137255,-0.0980392156862745,-9.80,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[42,44,46]","[771,773,775]"
budget,gemini-3.8-flash-medium,expgym,evidence_audit,task,cc-large:1,evidence_acc,fraction,1,cost_free,cost_moderate,single,single,1.0,0.8431372549019608,-0.1568627450980392,-15.69,known,3,3,0,3,3,0,gemini_snapshot,gemini_snapshot,gemini_metrics,gemini_metrics,"[764,766,768]","[1191,1193,1195]"
