conclusion,historical,new,unit,status,evidence,old_identity,new_identity
Audit cost_tight label_acc,78.90899949723479,79.61287078934137,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight evidence_acc,55.65610859728507,56.05832076420312,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight joint_acc,54.122674710910005,54.49974861739568,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight nonempty_label_correct,82.67441248210478,83.42227572996805,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight nonempty_evidence_exact,44.775623237161696,45.053401014939475,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight nonempty_joint_correct,40.91827687981534,41.16044212198059,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight nonempty_missing_any,50.50671550671551,50.19332519332519,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit cost_tight nonempty_extra_any,12.48046824969902,12.594428363659132,0-100,修改,audit/n1/budget_metrics.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit paired completion patterns,253,272,presentations,修改,audit/n1/paired_completion_patterns.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Audit paired confirmed complete evidence,245,264,presentations,修改,audit/n1/paired_completion_patterns.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO behavioral trajectories,480,486,trajectories,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free n,160,162,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free delivered_total,3938,3998,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free natural_n,48,48,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free budget_n,0,0,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free cap_n,94,96,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free delivered_evaluations_mean,24.6125,24.679012345679013,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free delivered_budget_fraction_mean,,,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_free score_complete_n,153,155,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate n,160,162,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate delivered_total,1683,1714,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate natural_n,126,128,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate budget_n,23,23,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate cap_n,4,4,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate delivered_evaluations_mean,10.51875,10.580246913580247,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate delivered_budget_fraction_mean,0.8832388223583837,0.8839156158466175,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_moderate score_complete_n,158,160,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight n,160,162,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight delivered_total,547,555,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight natural_n,87,89,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight budget_n,66,66,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight cap_n,0,0,,保持,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight delivered_evaluations_mean,3.41875,3.425925925925926,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight delivered_budget_fraction_mean,0.8283353427583154,0.8292207346696594,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
HPO cost_tight score_complete_n,158,160,,修改,hpo_behavior/official_rescored486/by_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search paired tight_lower,252,252,,保持,search/paired_direction_summary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search paired tied,182,182,,保持,search/paired_direction_summary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search paired tight_higher,4,4,,保持,search/paired_direction_summary.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_free natural_stop_imperfect,114,114,,保持,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_free natural_stop_zero,59,59,,保持,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_moderate natural_stop_imperfect,129,128,,修改,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_moderate natural_stop_zero,58,58,,保持,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_tight natural_stop_imperfect,52,52,,保持,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
Search cost_tight natural_stop_zero,31,31,,保持,search/overall_regime.csv,published-297c3d0-historical-scoring,existing-trace-rescore-v1
